Defect_name,Defect_group,multiplicity,defect_site,Charge,energy,corrections,Pu,O,Cl,N,H
Cl_{Pu}^{5-},Cl_{Pu},1,2,-5,-1098.511391,2.629146946,1,0,-1,0,0
Cl_{Pu}^{4-},Cl_{Pu},1,2,-4,-1108.444088,1.698763283,1,0,-1,0,0
Cl_{Pu}^{3-},Cl_{Pu},1,2,-3,-1117.844805,1.398125628,1,0,-1,0,0
Cl_{Pu}^{2-},Cl_{Pu},1,2,-2,-1126.347534,0.740367794,1,0,-1,0,0
Cl_{Pu}^{1-},Cl_{Pu},1,2,-1,-1135.269989,0.267143876,1,0,-1,0,0
Cl_{Pu}^{0},Cl_{Pu},1,2,0,-1143.271648,0,1,0,-1,0,0
ClO:VO3+,ClO:VO,12,4,3,-1184.368574,0.840234362,0,2,-1,0,0
ClO:VO2+,ClO:VO,12,4,2,-1174.871346,0.381336488,0,2,-1,0,0
ClO:VO1+,ClO:VO,12,4,1,-1165.257661,0.1126063,0,2,-1,0,0
ClO:VO0,ClO:VO,12,4,0,-1155.728048,0,0,2,-1,0,0
ClO:VO1-,ClO:VO,12,4,-1,-1146.215477,0.045861938,0,2,-1,0,0
ClO:Vpu4-,ClO:Vpu,8,4,-4,-1104.001839,2.316587264,1,1,-1,0,0
ClO:Vpu3-,ClO:Vpu,8,4,-3,-1113.629979,1.534889162,1,1,-1,0,0
ClO:Vpu2-,ClO:Vpu,8,4,-2,-1121.539613,0.919579913,1,1,-1,0,0
ClO:Vpu1-,ClO:Vpu,8,4,-1,-1129.473913,0.41610266,1,1,-1,0,0
ClO:Vpu0,ClO:Vpu,8,4,0,-1137.364345,0,1,1,-1,0,0
SD_Cl (001) -1,SD_Cl (001),24,5,-1,-1124.533389,0.395832428,1,2,-1,0,0
SD_Cl (001) 0,SD_Cl (001),24,5,0,-1132.432673,0,1,2,-1,0,0
SD_Cl (001) 1,SD_Cl (001),24,5,1,-1140.241744,-0.31536522,1,2,-1,0,0
SD_Cl (011) -1,SD_Cl (011),24,5,-1,-1124.260072,0.389795467,1,2,-1,0,0
